_id,EJERCICIO,GRUPO,FUNCION,SUBFUNCION,PROGRAMA,DESCRIPCION CORTA,DESCRIPCION LARGA
32,2022,7,72,,,Industria,Industria
33,2022,7,73,,,Energía y Minas,Energía y Minas
34,2022,7,75,,,Turismo,Turismo
35,2022,9,91,,,Transfer AA.PP. Territ,Transferencias a AA.PP. Territoriales
36,2022,1,11,111,,Amortiz. y gastos Deuda,Amortización y Gastos Financieros de la Deuda
37,2022,1,11,111,,Alta Dirección (Cortes),Alta Dirección de la C.A. (Cortes de Aragón)
38,2022,1,11,112,,Alta Dirección (P Gob.Ar),Alta Dirección de la C.A. (Presidencia Gob Aragón)
39,2022,1,12,121,,Servicios Generales,Servicios Generales
40,2022,1,12,122,,Función Pública,Función Pública
41,2022,1,12,123,,Formac y perfecc personal,Formación y Perfeccionamiento del personal (IAAP)
42,2022,1,12,125,,Gastos relat. Admón.Local,Gastos relativos a la Administración Local
43,2022,1,12,126,,Otros Servicios Generales,Otros Servicios Generales
44,2022,1,13,131,,Rel. Exteriores,Relaciones Exteriores
45,2022,1,13,134,,Cooperación Internacional,Cooperación Internacional
46,2022,1,14,142,,Administración Justicia,Administración de Justicia
47,2022,3,31,311,,Admón y Promoción Social,Admón y Promoción Social
48,2022,3,31,313,,Acción Social,Acción Social
49,2022,3,31,315,,Relaciones Laborales,Relaciones Laborales
50,2022,3,32,322,,Promoción del Empleo,Promoción del Empleo
51,2022,3,32,323,,Promoción Sociocultural,Promoción Sociocultural
52,2022,3,32,324,,Acción favor Inmigrantes,Acción en favor de los Inmigrantes
53,2022,4,41,411,,Admón General Sanidad,Administración General de Sanidad
54,2022,4,41,412,,"Hosp,Svcios, Asist y Cent","Hospitales, Svcios, Asistencias y Centros de Salud"
